2023-12-20 16:39:08.676 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 16:39:08.730 +07:00 [INF] Unzip : C:\CFRs\BankStatement\BAAC\Statement.zip
2023-12-20 16:39:08.866 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230901-AKL1.txt
2023-12-20 16:39:08.872 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230902-AKL1.txt
2023-12-20 16:39:08.878 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230903-AKL1.txt
2023-12-20 16:39:08.881 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230904-AKL1.txt
2023-12-20 16:39:08.886 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230905-AKL1.txt
2023-12-20 16:39:08.890 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230906-AKL1.txt
2023-12-20 16:39:08.894 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230907-AKL1.txt
2023-12-20 16:39:08.898 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230908-AKL1.txt
2023-12-20 16:39:08.904 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230909-AKL1.txt
2023-12-20 16:39:08.909 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230910-AKL1.txt
2023-12-20 16:39:08.913 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230911-AKL1.txt
2023-12-20 16:39:08.919 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230912-AKL1.txt
2023-12-20 16:39:08.923 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230913-AKL1.txt
2023-12-20 16:39:08.927 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230914-AKL1.txt
2023-12-20 16:39:08.931 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230915-AKL1.txt
2023-12-20 16:39:08.936 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230916-AKL1.txt
2023-12-20 16:39:08.941 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230917-AKL1.txt
2023-12-20 16:39:08.945 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230918-AKL1.txt
2023-12-20 16:39:08.951 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230919-AKL1.txt
2023-12-20 16:39:08.970 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230920-AKL1.txt
2023-12-20 16:39:08.979 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230921-AKL1.txt
2023-12-20 16:39:08.986 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230922-AKL1.txt
2023-12-20 16:39:08.996 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230923-AKL1.txt
2023-12-20 16:39:09.012 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230924-AKL1.txt
2023-12-20 16:39:09.032 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230925-AKL1.txt
2023-12-20 16:39:09.040 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230926-AKL1.txt
2023-12-20 16:39:09.047 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230927-AKL1.txt
2023-12-20 16:39:09.057 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230928-AKL1.txt
2023-12-20 16:39:09.067 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230929-AKL1.txt
2023-12-20 16:39:09.075 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20230930-AKL1.txt
2023-12-20 16:39:09.083 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230901-AKL1.txt
2023-12-20 16:39:09.088 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230902-AKL1.txt
2023-12-20 16:39:09.094 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230903-AKL1.txt
2023-12-20 16:39:09.098 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230904-AKL1.txt
2023-12-20 16:39:09.104 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230905-AKL1.txt
2023-12-20 16:39:09.111 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230906-AKL1.txt
2023-12-20 16:39:09.116 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230907-AKL1.txt
2023-12-20 16:39:09.123 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230908-AKL1.txt
2023-12-20 16:39:09.132 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230909-AKL1.txt
2023-12-20 16:39:09.138 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230910-AKL1.txt
2023-12-20 16:39:09.143 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230911-AKL1.txt
2023-12-20 16:39:09.151 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230912-AKL1.txt
2023-12-20 16:39:09.157 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230913-AKL1.txt
2023-12-20 16:39:09.164 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230914-AKL1.txt
2023-12-20 16:39:09.172 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230915-AKL1.txt
2023-12-20 16:39:09.178 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230916-AKL1.txt
2023-12-20 16:39:09.182 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230917-AKL1.txt
2023-12-20 16:39:09.194 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230918-AKL1.txt
2023-12-20 16:39:09.199 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230919-AKL1.txt
2023-12-20 16:39:09.207 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230920-AKL1.txt
2023-12-20 16:39:09.215 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230921-AKL1.txt
2023-12-20 16:39:09.220 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230922-AKL1.txt
2023-12-20 16:39:09.225 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230923-AKL1.txt
2023-12-20 16:39:09.233 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230924-AKL1.txt
2023-12-20 16:39:09.241 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230925-AKL1.txt
2023-12-20 16:39:09.249 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230926-AKL1.txt
2023-12-20 16:39:09.257 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230927-AKL1.txt
2023-12-20 16:39:09.266 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230928-AKL1.txt
2023-12-20 16:39:09.272 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230929-AKL1.txt
2023-12-20 16:39:09.279 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-010002366858-20230930-AKL1.txt
2023-12-20 16:39:14.582 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-20 16:41:08.225 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 16:41:08.236 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KBANK\Statement.zip
2023-12-20 16:41:08.280 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0181006692_0966.txt
2023-12-20 16:41:08.287 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0181130040_0966.txt
2023-12-20 16:41:08.292 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-0182565407_0966.txt
2023-12-20 16:41:08.296 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-2481032833-0966.txt
2023-12-20 16:41:08.300 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KBANK\Statement\TXT-7141015774_0966.txt
2023-12-20 16:41:12.522 +07:00 [INF] Call Ended.. api/BankStatement/ImportFile/Import
2023-12-20 16:51:42.851 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 16:51:42.883 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\Statement.zip
