2023-12-02 15:42:50.579 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-02 15:42:50.592 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement.zip
2023-12-02 15:42:50.937 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2116013399.txt
2023-12-02 15:42:50.942 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2136037749.txt
2023-12-02 15:42:50.947 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2156030596.txt
2023-12-02 15:42:50.952 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2186023792.txt
2023-12-02 15:42:50.956 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2216009679.txt
2023-12-02 15:42:50.961 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2336001055.txt
2023-12-02 15:42:50.966 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3066002233.txt
2023-12-02 15:42:50.970 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3086018852.txt
2023-12-02 15:42:50.975 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3106016159.txt
2023-12-02 15:42:50.979 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3116008418.txt
2023-12-02 15:42:50.983 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3226024418.txt
2023-12-02 15:42:50.988 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3426001209.txt
2023-12-02 15:42:50.993 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4016004292.txt
2023-12-02 15:42:50.998 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4036025988.txt
2023-12-02 15:42:51.002 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4046013060.txt
2023-12-02 15:42:51.009 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4056007179.txt
2023-12-02 15:42:51.019 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4086006197.txt
2023-12-02 15:42:51.026 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4096030112.txt
2023-12-02 15:42:51.031 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4116040789.txt
2023-12-02 15:42:51.036 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4126000135.txt
2023-12-02 15:42:51.042 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4136032447.txt
2023-12-02 15:42:51.047 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4206006032.txt
2023-12-02 15:42:51.052 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5036027612.txt
2023-12-02 15:42:51.058 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5046009560.txt
2023-12-02 15:42:51.062 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_5056021873.txt
