2024-01-04 13:29:32.141 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2024-01-04 13:29:32.182 +07:00 [INF] Unzip : C:\CFRs\BankStatement\BAAC\Statement.zip
2024-01-04 13:29:32.215 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231001-AKL1.txt
2024-01-04 13:29:32.224 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231002-AKL1.txt
2024-01-04 13:29:32.232 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231003-AKL1.txt
2024-01-04 13:29:32.237 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231004-AKL1.txt
2024-01-04 13:29:32.243 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231005-AKL1.txt
2024-01-04 13:29:32.249 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231006-AKL1.txt
2024-01-04 13:29:32.255 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231007-AKL1.txt
2024-01-04 13:29:32.259 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231008-AKL1.txt
2024-01-04 13:29:32.263 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231009-AKL1.txt
2024-01-04 13:29:32.266 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231010-AKL1.txt
2024-01-04 13:29:32.271 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231011-AKL1.txt
2024-01-04 13:29:32.275 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231012-AKL1.txt
2024-01-04 13:29:32.278 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231013-AKL1.txt
2024-01-04 13:29:32.285 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231014-AKL1.txt
2024-01-04 13:29:32.288 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231015-AKL1.txt
2024-01-04 13:29:32.292 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231016-AKL1.txt
2024-01-04 13:29:32.295 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231017-AKL1.txt
2024-01-04 13:29:32.299 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231018-AKL1.txt
2024-01-04 13:29:32.302 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231019-AKL1.txt
2024-01-04 13:29:32.305 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231020-AKL1.txt
2024-01-04 13:29:32.309 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231021-AKL1.txt
2024-01-04 13:29:32.313 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231022-AKL1.txt
2024-01-04 13:29:32.317 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231023-AKL1.txt
2024-01-04 13:29:32.319 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231024-AKL1.txt
2024-01-04 13:29:32.322 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231025-AKL1.txt
2024-01-04 13:29:32.326 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231026-AKL1.txt
2024-01-04 13:29:32.329 +07:00 [INF] Unzip files : C:\CFRs\BankStatement\BAAC\Statement\FZC009-000005011240-20231027-AKL1.txt
