2023-12-08 06:26:56.499 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230904_0231072228.txt
2023-12-08 06:26:56.502 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230904_0236035053.txt
2023-12-08 06:26:56.506 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230904_0236060678.txt
2023-12-08 06:26:56.510 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230905_0231072228.txt
2023-12-08 06:26:56.512 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230905_0236035053.txt
2023-12-08 06:26:56.516 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230905_0236060678.txt
2023-12-08 06:26:56.519 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230906_0231072228.txt
2023-12-08 06:26:56.523 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230906_0236035053.txt
2023-12-08 06:26:56.526 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230906_0236060678.txt
2023-12-08 06:26:56.529 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230907_0231072228.txt
2023-12-08 06:26:56.532 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230907_0236035053.txt
2023-12-08 06:26:56.535 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230907_0236060678.txt
2023-12-08 06:26:56.538 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230908_0231072228.txt
2023-12-08 06:26:56.542 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230908_0236035053.txt
2023-12-08 06:26:56.545 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230908_0236060678.txt
2023-12-08 06:26:56.549 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230909_0231072228.txt
2023-12-08 06:26:56.552 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230909_0236035053.txt
2023-12-08 06:26:56.555 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230909_0236060678.txt
2023-12-08 06:26:56.558 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230910_0231072228.txt
2023-12-08 06:26:56.561 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230910_0236035053.txt
2023-12-08 06:26:56.565 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230910_0236060678.txt
2023-12-08 06:26:56.568 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230911_0231072228.txt
2023-12-08 06:26:56.571 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230911_0236035053.txt
2023-12-08 06:26:56.574 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230911_0236060678.txt
2023-12-08 06:26:56.578 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230912_0231072228.txt
2023-12-08 06:26:56.582 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230912_0236035053.txt
2023-12-08 06:26:56.585 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230912_0236060678.txt
2023-12-08 06:26:56.587 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230913_0231072228.txt
2023-12-08 06:26:56.591 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230913_0236035053.txt
2023-12-08 06:26:56.594 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230913_0236060678.txt
2023-12-08 06:26:56.598 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230914_0231072228.txt
2023-12-08 06:26:56.602 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230914_0236035053.txt
2023-12-08 06:26:56.605 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230914_0236060678.txt
2023-12-08 06:26:56.608 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230915_0231072228.txt
2023-12-08 06:26:56.611 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230915_0236035053.txt
2023-12-08 06:26:56.615 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230915_0236060678.txt
2023-12-08 06:26:56.618 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230916_0231072228.txt
2023-12-08 06:26:56.621 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230916_0236035053.txt
2023-12-08 06:26:56.625 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230916_0236060678.txt
2023-12-08 06:26:56.628 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230917_0231072228.txt
2023-12-08 06:26:56.632 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230917_0236035053.txt
2023-12-08 06:26:56.635 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230917_0236060678.txt
2023-12-08 06:26:56.638 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230918_0231072228.txt
2023-12-08 06:26:56.641 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230918_0236035053.txt
2023-12-08 06:26:56.644 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230918_0236060678.txt
2023-12-08 06:26:56.648 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230919_0231072228.txt
2023-12-08 06:26:56.651 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230919_0236035053.txt
2023-12-08 06:26:56.653 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230919_0236060678.txt
2023-12-08 06:26:56.657 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230920_0231072228.txt
2023-12-08 06:26:56.660 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230920_0236035053.txt
2023-12-08 06:26:56.664 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230920_0236060678.txt
2023-12-08 06:26:56.667 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230921_0231072228.txt
