2023-12-20 17:49:26.877 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:56:49.426 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230913_0236060678.txt
2023-12-20 17:56:49.429 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230914_0231072228.txt
2023-12-20 17:56:49.432 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230914_0236035053.txt
2023-12-20 17:56:49.436 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230914_0236060678.txt
2023-12-20 17:56:49.440 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230915_0231072228.txt
2023-12-20 17:56:49.443 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230915_0236035053.txt
2023-12-20 17:56:49.447 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230915_0236060678.txt
2023-12-20 17:56:49.451 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230916_0231072228.txt
2023-12-20 17:56:49.455 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230916_0236035053.txt
2023-12-20 17:56:49.459 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230916_0236060678.txt
2023-12-20 17:56:49.462 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230917_0231072228.txt
2023-12-20 17:56:49.466 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230917_0236035053.txt
2023-12-20 17:56:49.469 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230917_0236060678.txt
